Name,MW,LogP,HBD,HBA,TPSA,RotBonds,QED,BBB_Penetrant,GI_Absorption,Egan_Pass,Lipinski,SMILES
RL_Gen_18,301.48,3.416,0,3,19.37,5,0.8306,No,High,True,True,
RL_Gen_19,312.44,3.258,0,3,23.55,2,0.8496,No,High,True,True,
RL_Gen_20,434.07,5.071,1,3,35.58,7,0.6514,No,High,True,False,
RL_Gen_21,320.27,1.457,2,5,90.65,5,0.8016,No,High,True,True,
RL_Gen_22,486.89,5.378,2,3,67.43,6,0.5388,No,High,True,False,
RL_Gen_23,342.34,3.601,2,3,58.2,4,0.8919,No,High,True,True,
RL_Gen_24,240.27,2.213,1,4,67.07,2,0.7463,Yes,High,True,True,
RL_Gen_25,212.2,2.634,0,3,47.28,0,0.6305,Yes,High,True,True,
RL_Gen_26,429.26,4.36,0,6,90.4,4,0.2732,No,High,True,True,
RL_Gen_27,297.27,1.992,1,4,89.51,3,0.5896,Yes,High,True,True,
RL_Gen_28,396.66,5.012,1,2,38.33,4,0.7765,No,High,True,False,
RL_Gen_29,391.35,3.283,2,4,88.24,6,0.6299,No,High,True,True,
RL_Gen_30,245.15,2.792,1,2,15.27,2,0.8614,Yes,High,True,True,
RL_Gen_31,330.31,3.71,1,2,38.05,2,0.7778,No,High,True,True,
RL_Gen_32,341.41,4.528,1,3,42.35,4,0.593,No,High,True,True,
RL_Gen_33,283.17,2.884,0,3,39.92,3,0.8007,Yes,High,True,True,
RL_Gen_34,270.37,2.961,1,2,29.46,3,0.8557,Yes,High,True,True,
RL_Gen_35,280.25,2.958,2,2,40.46,1,0.8428,Yes,High,True,True,
RL_Gen_36,286.42,4.034,2,2,48.91,7,0.7548,No,High,True,True,
RL_Gen_37,392.52,4.64,0,2,23.55,5,0.7401,No,High,True,True,
RL_Gen_38,579.87,8.79,0,3,21.7,8,0.312,No,High,False,False,
RL_Gen_39,410.56,5.26,1,3,47.26,7,0.5779,No,High,True,False,
RL_Gen_40,307.48,3.922,1,4,23.47,5,0.9047,No,High,True,True,
RL_Gen_29_isoA,391.35,3.283,2,4,88.24,6,0.6299,No,High,True,True,
RL_Gen_29_isoB,391.35,3.283,2,4,88.24,6,0.6299,No,High,True,True,
RL_Gen_29_isoC,391.35,3.283,2,4,88.24,6,0.6299,No,High,True,True,
RL_Gen_29_isoD,391.35,3.283,2,4,88.24,6,0.6299,No,High,True,True,
RL_Gen_37_isoA,392.52,4.64,0,2,23.55,5,0.7401,No,High,True,True,
RL_Gen_37_isoB,392.52,4.64,0,2,23.55,5,0.7401,No,High,True,True,
RL_Gen_41,356.46,5.103,0,4,36.92,1,0.6559,No,High,True,False,
RL_Gen_43,350.33,0.487,2,6,101.88,6,0.6707,No,High,True,True,
RL_Gen_44,406.44,-0.724,4,8,149.58,6,0.4942,No,Low,False,True,
RL_Gen_45,446.54,4.379,0,7,72.45,5,0.4909,No,High,True,True,
RL_Gen_46,312.39,3.47,1,5,55.24,4,0.8012,No,High,True,True,
RL_Gen_47,280.38,4.007,1,2,46.5,3,0.7877,No,High,True,True,
RL_Gen_48,396.9,5.054,0,5,52.83,4,0.4525,No,High,True,False,
RL_Gen_49,328.38,3.343,1,5,71.79,3,0.6243,No,High,True,True,
RL_Gen_50,308.37,3.432,0,5,52.31,4,0.5794,No,High,True,True,
RL_Gen_42,164.17,0.615,1,4,55.88,3,0.7218,Yes,High,True,True,c1cc(CNn2cnnc2)co1
BENZ_R,308.31,2.092,1,4,82.37,3,0.7511,Yes,High,True,True,CC(=O)N[C@H](C1=CC=CC=C1)C2=C([O-])C3=CC=CC=C3OC2=O
BENZ_S,308.31,2.092,1,4,82.37,3,0.7511,Yes,High,True,True,CC(=O)N[C@@H](C1=CC=CC=C1)C2=C([O-])C3=CC=CC=C3OC2=O
R_Warfarin_ref,307.33,2.978,0,4,70.34,4,0.6947,Yes,High,True,True,CC(=O)C[C@H](C1=CC=CC=C1)C2=C([O-])C3=CC=CC=C3OC2=O
S_Warfarin_ref,307.33,2.978,0,4,70.34,4,0.6947,Yes,High,True,True,CC(=O)C[C@@H](C1=CC=CC=C1)C2=C([O-])C3=CC=CC=C3OC2=O
dimethoxy_23_R,368.37,2.109,1,6,100.83,5,0.6924,No,High,True,True,CC(=O)N[C@H](c1c(OC)c(OC)ccc1)C2=C([O-])C3=CC=CC=C3OC2=O
dimethoxy_23_S,368.37,2.109,1,6,100.83,5,0.6924,No,High,True,True,CC(=O)N[C@@H](c1c(OC)c(OC)ccc1)C2=C([O-])C3=CC=CC=C3OC2=O
m_bromo_R,387.21,2.855,1,4,82.37,3,0.7011,Yes,High,True,True,CC(=O)N[C@H](C1=CC(=CC=C1)Br)C2=C([O-])C3=CC=CC=C3OC2=O
m_bromo_S,387.21,2.855,1,4,82.37,3,0.7011,Yes,High,True,True,CC(=O)N[C@@H](C1=CC(=CC=C1)Br)C2=C([O-])C3=CC=CC=C3OC2=O
m_nitro_R,353.31,2.0,1,6,125.51,4,0.4342,No,High,True,True,CC(=O)N[C@H](C1=CC(=CC=C1)[N+](=O)[O-])C2=C([O-])C3=CC=CC=C3OC2=O
m_nitro_S,353.31,2.0,1,6,125.51,4,0.4342,No,High,True,True,CC(=O)N[C@@H](C1=CC(=CC=C1)[N+](=O)[O-])C2=C([O-])C3=CC=CC=C3OC2=O
p_nitro_R,353.31,2.0,1,6,125.51,4,0.4342,No,High,True,True,CC(=O)N[C@H](C1=CC=C([N+](=O)[O-])C=C1)C2=C([O-])C3=CC=CC=C3OC2=O
p_nitro_S,353.31,2.0,1,6,125.51,4,0.4342,No,High,True,True,CC(=O)N[C@@H](C1=CC=C([N+](=O)[O-])C=C1)C2=C([O-])C3=CC=CC=C3OC2=O
