Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,Scaffold,QED,QED (raw),SAScore,SAScore (raw),MW_endpoint,MW_endpoint (raw),step
7.9828,7.1232,-7.1232,0.0000000,CC(=O)NC(c1cc(C(C)C)ccc1C(C)C)c1c(O)c2ccccc2oc1=O,2,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,CC(C)*|*C(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.5999,0.0000000,3.0573,0.0000000,393.4830,1
8.6107,9.6794,75.6958,0.7114599,CC(=O)NC(c1cc(N(C)C)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,CN(C)*|*N(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.6463715,0.6464,0.5571461,3.1802,1.0000000,395.4590,1
2.7458,2.1025,-2.1025,0.0000000,CC(=O)NC(c1cc(C)ccc1C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*C|*C,O=c1oc2ccccc2cc1Cc1ccccc1,0.7184995,0.7185,0.8087212,2.8117,1.0000000,337.3750,2
6.6569,6.0796,90.1337,0.8017776,CC(=O)NC(c1cc(C(C)C)ccc1C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*C|*C(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.6806728,0.6807,0.7572223,2.9042,1.0000000,365.4290,2
4.8538,5.0416,-5.0416,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*C|*N(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.6935147,0.6935,0.7098612,2.9780,1.0000000,366.4170,2
4.1687,5.3691,-5.3691,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*C|CN(C)*,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6935,0.0000000,2.9780,0.0000000,366.4170,2
5.7040,6.0958,-6.0958,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*C|N(*)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6935,0.0000000,2.9780,0.0000000,366.4170,2
8.6212,8.0457,79.8254,0.7322587,CC(=O)NC(c1cc(C(C)C)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N(C)C|C(*)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.6412450,0.6412,0.6123074,3.1111,1.0000000,394.4710,2
9.7132,10.6080,72.0692,0.6889770,CC(=O)NC(c1cc(N2CCOCC2)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N(C)C|C1CN(*)CCO1,O=c1oc2ccccc2cc1Cc1cccc(N2CCOCC2)c1,0.5926821,0.5927,0.5518136,3.1868,1.0000000,437.4960,2
4.5492,5.2483,-5.2483,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N(C)C|CN(*)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.6463715,0.6464,0.5571461,3.1802,1.0000000,395.4590,2
12.7560,11.9228,59.7483,0.5972598,CC(=O)NC(c1cc(N(C)CCC#N)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N(C)C|N#CCCN(*)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.5498392,0.5498,0.3874843,3.3892,1.0000000,434.4960,2
9.9993,10.4653,50.4903,0.5079632,CC(=O)NC(c1cc(NC#N)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N(C)C|N#CN*,O=c1oc2ccccc2cc1Cc1ccccc1,0.3469325,0.3469,0.3777912,3.4017,1.0000000,392.4150,2
7.1594,6.0239,73.2604,0.6607031,CC(=O)NC(c1cc(N)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N(C)C|N*,O=c1oc2ccccc2cc1Cc1ccccc1,0.4824921,0.4825,0.5977626,3.1296,1.0000000,367.4050,2
15.1545,14.2730,56.0119,0.5857074,CC(=O)NC(c1cc(-c2ccc3ccccc3c2)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N(C)C|c1c2ccccc2ccc1*,O=c1oc2ccccc2cc1Cc1cccc(-c2ccc3ccccc3c2)c1,0.3209602,0.3210,0.6260241,3.0934,1.0000000,478.5480,2
10.0420,9.1956,84.7089,0.7825372,CC(=O)NC(c1cc(C)ccc1N1CCCC1)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N1CCCC1|*C,O=c1oc2ccccc2cc1Cc1ccccc1N1CCCC1,0.6627195,0.6627,0.7230781,2.9582,1.0000000,392.4550,2
12.3850,13.7072,62.8390,0.6378847,CCN(CC)c1ccc(N2CCN(C)CC2)c(C(NC(C)=O)c2c(O)c3ccccc3oc2=O)c1,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N1CCN(C)CC1|C(N(*)CC)C,O=c1oc2ccccc2cc1Cc1ccccc1N1CCNCC1,0.5037432,0.5037,0.5152493,3.2315,1.0000000,478.5930,2
5.8684,8.4318,76.3505,0.7065196,CNc1ccc(N(C)C)cc1C(NC(C)=O)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*NC|CN(C)*,O=c1oc2ccccc2cc1Cc1ccccc1,0.5885152,0.5885,0.5992596,3.1277,1.0000000,381.4320,2
7.7036,10.0187,-10.0187,0.0000000,CNc1ccc(N(C)C)cc1C(NC(C)=O)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*NC|N(*)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.5885,0.0000000,3.1277,0.0000000,381.4320,2
4.4487,5.8029,72.9900,0.6566080,CC(=O)NC(c1cc(N)ccc1N)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N|*N,O=c1oc2ccccc2cc1Cc1ccccc1,0.4254702,0.4255,0.6653489,3.0411,1.0000000,339.3510,2
5.4375,6.6921,73.8696,0.6713479,CC(=O)NC(c1cc(N(C)C)ccc1N)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N|*N(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.4824921,0.4825,0.6271229,3.0919,1.0000000,367.4050,2
8.8183,8.6480,71.7376,0.6698804,CC(=O)NC(c1cc(C(F)(F)F)ccc1N)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N|C(*)(F)(F)F,O=c1oc2ccccc2cc1Cc1ccccc1,0.4684182,0.4684,0.6417384,3.0728,1.0000000,392.3330,2
7.8698,7.7501,68.4286,0.6348222,CCN(CC)c1ccc(N)c(C(NC(C)=O)c2c(O)c3ccccc3oc2=O)c1,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N|CCN(CC)*,O=c1oc2ccccc2cc1Cc1ccccc1,0.4369749,0.4370,0.5854635,3.1450,1.0000000,395.4590,2
5.3489,6.5968,-6.5968,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1N)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N|CN(*)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.4825,0.0000000,3.0919,0.0000000,367.4050,2
5.4052,6.6842,-6.6842,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1N)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,*N|CN(C)*,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.4825,0.0000000,3.0919,0.0000000,367.4050,2
9.2626,9.2348,-9.2348,0.0000000,CC(=O)NC(c1cc(C(C)C)ccc1C(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C(*)(C)C|*C(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.5998761,0.5999,0.6533329,3.0573,1.0000000,393.4830,2
14.1150,15.6308,56.9032,0.6044502,CC(=O)NC(c1cc(-c2ccccc2)ccc1NCCN(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C(N(C)C)CN*|c1cc(*)ccc1,O=c1oc2ccccc2cc1Cc1cccc(-c2ccccc2)c1,0.3306115,0.3306,0.6679803,3.0375,1.0000000,471.5570,2
3.7421,1.8804,-1.8804,0.0000000,CC(=O)NC(c1cc(C)ccc1C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C*|*C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.7185,0.0000000,2.8117,0.0000000,337.3750,2
6.0470,5.9637,-5.9637,0.0000000,CC(=O)NC(c1cc(C(C)C)ccc1C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C*|*C(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6807,0.0000000,2.9042,0.0000000,365.4290,2
3.4013,4.7977,-4.7977,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C*|*N(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6935,0.0000000,2.9780,0.0000000,366.4170,2
7.4452,6.8000,82.5859,0.7448826,CCN(CC)c1ccc(C)c(C(NC(C)=O)c2c(O)c3ccccc3oc2=O)c1,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C*|C(C)N(CC)*,O=c1oc2ccccc2cc1Cc1ccccc1,0.6201953,0.6202,0.6664000,3.0396,1.0000000,394.4710,2
6.9543,7.0836,-7.0836,0.0000000,CCN(CC)c1ccc(C)c(C(NC(C)=O)c2c(O)c3ccccc3oc2=O)c1,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C*|C(N(CC)*)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6202,0.0000000,3.0396,0.0000000,394.4710,2
5.8984,2.0468,-2.0468,0.0000000,CC(=O)NC(c1cc(C)ccc1C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C*|C*,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.7185,0.0000000,2.8117,0.0000000,337.3750,2
5.6405,5.7536,-5.7536,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C*|N(*)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6935,0.0000000,2.9780,0.0000000,366.4170,2
6.5268,6.0826,-6.0826,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C*|N(C)(*)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6935,0.0000000,2.9780,0.0000000,366.4170,2
5.3056,4.2171,82.4065,0.7218631,CC(=O)NC(c1cc(N)ccc1C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C*|N*,O=c1oc2ccccc2cc1Cc1ccccc1,0.5027231,0.5027,0.7482309,2.9189,1.0000000,338.3630,2
8.0874,9.9453,73.6046,0.6962491,CC(=O)NC(c1cc(N(C)C)ccc1N1CCOCC1)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,C1CN(*)CCO1|CN(C)*,O=c1oc2ccccc2cc1Cc1ccccc1N1CCOCC1,0.5926821,0.5927,0.5694715,3.1650,1.0000000,437.4960,2
13.6411,12.1523,65.8692,0.6501789,CCN(CC)c1ccc(C(C)(C)C)c(C(NC(C)=O)c2c(O)c3ccccc3oc2=O)c1,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CC(C)(C)*|CCN(*)CC,O=c1oc2ccccc2cc1Cc1ccccc1,0.5389664,0.5390,0.5099611,3.2379,1.0000000,436.5520,2
7.8516,8.8664,76.3352,0.7100132,CC(=O)NC(c1cc(C(F)(F)F)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(*)C|*C(F)(F)F,O=c1oc2ccccc2cc1Cc1ccccc1,0.6275836,0.6276,0.5703320,3.1639,1.0000000,420.3870,2
6.6627,7.7752,-7.7752,0.0000000,CC(=O)NC(c1cc(N)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(*)C|*N,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.4825,0.0000000,3.1296,0.0000000,367.4050,2
4.9438,7.7022,-7.7022,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(*)C|N(*)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6464,0.0000000,3.1802,0.0000000,395.4590,2
4.3026,4.9841,88.1302,0.7759530,CC(=O)NC(c1cc(C)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(C)*|*C,O=c1oc2ccccc2cc1Cc1ccccc1,0.6935147,0.6935,0.6736752,3.0296,1.0000000,366.4170,2
13.2147,14.3739,8.4309,0.1900400,CC(=O)NC(c1cc(C23CC4CC(CC(C4)C2)C3)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(C)*|C12(*)CC3CC(C1)CC(C2)C3,O=c1oc2ccccc2cc1Cc1cccc(C23CC4CC(CC(C4)C2)C3)c1,0.4810305,0.4810,0.0142680,4.5376,1.0000000,486.6120,2
4.3975,5.5938,-5.5938,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(C)*|CN(*)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6464,0.0000000,3.1802,0.0000000,395.4590,2
7.8904,8.3867,-8.3867,0.0000000,CC(=O)NC(c1cc(C(F)(F)F)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(C)*|FC(F)(*)F,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6276,0.0000000,3.1639,0.0000000,420.3870,2
5.2637,7.4937,-7.4937,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(C)*|N(*)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6464,0.0000000,3.1802,0.0000000,395.4590,2
5.3277,6.5925,-6.5925,0.0000000,CC(=O)NC(c1cc(N)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(C)*|N*,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.4825,0.0000000,3.1296,0.0000000,367.4050,2
10.0036,10.2505,71.9717,0.6851850,CC(=O)NC(c1cc(-c2ccccc2)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN(C)*|c1(*)ccccc1,O=c1oc2ccccc2cc1Cc1cccc(-c2ccccc2)c1,0.4588717,0.4589,0.7010229,2.9909,1.0000000,428.4880,2
7.2628,7.5362,84.2517,0.7648992,CNc1ccc(C)cc1C(NC(C)=O)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,CN*|*C,O=c1oc2ccccc2cc1Cc1ccccc1,0.6277976,0.6278,0.7128415,2.9736,1.0000000,352.3900,2
7.8649,10.1028,-10.1028,0.0000000,CC(=O)NC(c1cc(C(F)(F)F)ccc1N(C)C)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N(*)(C)C|*C(F)(F)F,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.6276,0.0000000,3.1639,0.0000000,420.3870,2
11.1203,10.7219,73.4455,0.7013948,CC(=O)NC(c1cc(C)ccc1NCCN(C)C)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N(*)CCN(C)C|*C,O=c1oc2ccccc2cc1Cc1ccccc1,0.5195027,0.5195,0.6642014,3.0426,1.0000000,409.4860,2
8.6571,10.0216,-10.0216,0.0000000,CNc1ccc(N(C)C)cc1C(NC(C)=O)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N(*)C|*N(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.5885,0.0000000,3.1277,0.0000000,381.4320,2
6.2172,4.2879,-4.2879,0.0000000,CC(=O)NC(c1cc(C)ccc1N)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N*|*C,O=c1oc2ccccc2cc1Cc1ccccc1,0.5027231,0.5027,0.7388010,2.9339,1.0000000,338.3630,2
4.5229,6.1331,-6.1331,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1N)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N*|*N(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.4825,0.0000000,3.0919,0.0000000,367.4050,2
8.4322,7.8663,75.0915,0.6913150,CC(=O)NC(c1cc(C(C)C)ccc1N)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N*|C(*)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.4844876,0.4845,0.6819386,3.0181,1.0000000,366.4170,2
5.4421,4.3766,-4.3766,0.0000000,CC(=O)NC(c1cc(C)ccc1N)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N*|C*,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.5027,0.0000000,2.9339,0.0000000,338.3630,2
7.4769,7.4110,-7.4110,0.0000000,CCN(CC)c1ccc(N)c(C(NC(C)=O)c2c(O)c3ccccc3oc2=O)c1,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N*|CCN(CC)*,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.4370,0.0000000,3.1450,0.0000000,395.4590,2
6.0413,6.0983,-6.0983,0.0000000,CC(=O)NC(c1cc(N(C)C)ccc1N)c1c(O)c2ccccc2oc1=O,2,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N*|CN(C)*,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.4825,0.0000000,3.0919,0.0000000,367.4050,2
12.0851,11.1148,-11.1148,0.0000000,CC(=O)NC(c1cc(NCCN(C)C)ccc1N)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N*|CN(CCN*)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.3482521,0.3483,0.5828072,3.1484,1.0000000,410.4740,2
11.2356,8.5580,84.0282,0.7715522,CC(=O)NC(c1cc(C)ccc1N1CCCCC1)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N1(*)CCCCC1|*C,O=c1oc2ccccc2cc1Cc1ccccc1N1CCCCC1,0.6396184,0.6396,0.7180835,2.9658,1.0000000,406.4820,2
9.8202,11.2875,71.4499,0.6894777,CC(=O)NC(c1cc(N(C)C)ccc1N1CCN(C)CC1)c1c(O)c2ccccc2oc1=O,1,c1c2c(c(O)c(C(c3c([*])ccc([*])c3)NC(=O)C)c(=O)o2)ccc1,N1(C)CCN(*)CC1|*N(C)C,O=c1oc2ccccc2cc1Cc1ccccc1N1CCNCC1,0.5776687,0.5777,0.5673903,3.1676,1.0000000,450.5390,2
